review_id,text
1,This monitor is absolutely beautiful. Crisp colors and high refresh rate.
2,Total waste of money. The HDMI port was broken on arrival.
3,Decent keyboard. Keys are a bit loud but typing feels good.
4,Terrible battery life. Lasts barely 2 hours under moderate load.
5,Amazing mouse! Very ergonomic and has great precision.
6,Product review 6: Exceptional quality. Highly recommend it!
7,Product review 7: Disappointing. It stopped working after a day.
8,Product review 8: Exceptional quality. Highly recommend it!
9,Product review 9: Disappointing. It stopped working after a day.
10,Product review 10: Exceptional quality. Highly recommend it!
11,Product review 11: Disappointing. It stopped working after a day.
12,Product review 12: Exceptional quality. Highly recommend it!
13,Product review 13: Disappointing. It stopped working after a day.
14,Product review 14: Exceptional quality. Highly recommend it!
15,Product review 15: Disappointing. It stopped working after a day.
16,Product review 16: Exceptional quality. Highly recommend it!
17,Product review 17: Disappointing. It stopped working after a day.
18,Product review 18: Exceptional quality. Highly recommend it!
19,Product review 19: Disappointing. It stopped working after a day.
20,Product review 20: Exceptional quality. Highly recommend it!
